month,total_mrr,new_mrr,expansion_mrr,contraction_mrr,churn_mrr,nrr,grr,logo_retention
2023-01-01,114540.0,0.0,0.0,0.0,0.0,,,
2023-02-01,201680.0,87250.0,250.0,0.0,-360.0,,,
2023-03-01,228040.0,27360.0,50.0,-1050.0,0.0,,,
2023-04-01,390060.0,161950.0,170.0,-100.0,0.0,,,
2023-05-01,480120.0,79410.0,11300.0,-50.0,-600.0,,,
2023-06-01,564380.0,84110.0,150.0,0.0,0.0,,,
2023-07-01,678030.0,88700.0,26690.0,-100.0,-1640.0,,,
2023-08-01,731960.0,52830.0,1250.0,0.0,-150.0,,,
2023-09-01,872930.0,128500.0,20870.0,0.0,-8400.0,,,
2023-10-01,988500.0,116170.0,4880.0,0.0,-5480.0,,,
2023-11-01,1030400.0,47650.0,1190.0,-50.0,-6890.0,,,
2023-12-01,1089170.0,49750.0,11120.0,0.0,-2100.0,,,
2024-01-01,1171690.0,89040.0,1750.0,-360.0,-7910.0,1.136895407717828,0.9850707176532216,0.8888888888888888
2024-02-01,1207780.0,37640.0,4170.0,-270.0,-5450.0,1.187475208250694,0.9705969853232844,0.8571428571428572
2024-03-01,1429230.0,210820.0,12800.0,-250.0,-1920.0,1.1468163480091211,0.9465444658831784,0.8545454545454545
2024-04-01,1564460.0,112230.0,27440.0,-1180.0,-3260.0,1.0987540378403322,0.9623647643952212,0.8533333333333333
2024-05-01,1597410.0,46280.0,2010.0,-1570.0,-13770.0,1.0802715987669749,0.9606140131633758,0.8297872340425532
2024-06-01,1710020.0,120450.0,4660.0,-1300.0,-11200.0,1.1018285552287466,0.9448421276444948,0.8245614035087719
2024-07-01,1786700.0,83030.0,2690.0,-100.0,-8940.0,1.0428004660560741,0.9485126026871967,0.8181818181818181
2024-08-01,1907910.0,103770.0,18510.0,-520.0,-550.0,1.054634133012733,0.9385622165145636,0.8211920529801324
2024-09-01,1970780.0,88450.0,2730.0,-1410.0,-26900.0,1.0279060176646466,0.9464103650922754,0.8176470588235294
2024-10-01,2078770.0,99390.0,11430.0,-150.0,-2680.0,1.0307334344967123,0.9493778452200303,0.8387096774193549
2024-11-01,2198970.0,87880.0,47860.0,-650.0,-14890.0,1.0443808229813665,0.9472146739130435,0.8454106280193237
2024-12-01,2253000.0,47190.0,24170.0,-2570.0,-14760.0,1.0394336972189833,0.942047614238365,0.8597285067873304
2025-01-01,2343020.0,75550.0,16820.0,-800.0,-1550.0,1.0348129624730091,0.935972825576731,0.858974358974359
2025-02-01,2428910.0,50270.0,41390.0,-50.0,-5720.0,1.0431204358409645,0.9384324959843681,0.8704453441295547
2025-03-01,2552710.0,94880.0,39250.0,-3060.0,-7270.0,1.0520490054085068,0.935818587631102,0.8679245283018868
2025-04-01,2622790.0,39210.0,42330.0,-370.0,-11090.0,1.0590235608452756,0.9379338557713205,0.8652482269503546
2025-05-01,2710650.0,95900.0,10240.0,-270.0,-18010.0,1.0658566053799587,0.9414677509218047,0.8653198653198653
2025-06-01,2820300.0,93740.0,48430.0,-3540.0,-28980.0,1.0900691219985732,0.942181962784061,0.8557692307692308
2025-07-01,2924400.0,92050.0,15200.0,-1450.0,-1700.0,1.0950635249342362,0.9439749258409358,0.8448275862068966
2025-08-01,3035030.0,104260.0,29920.0,-1370.0,-22180.0,1.0854023512639486,0.936726575152916,0.8212435233160622
2025-09-01,3052130.0,33010.0,45830.0,-4180.0,-57560.0,1.1012847704969606,0.9362536660611535,0.8197115384615384
2025-10-01,3191310.0,91720.0,55310.0,-1810.0,-6040.0,1.1180457674490203,0.9369386704637839,0.8133640552995391
2025-11-01,3271540.0,93560.0,9410.0,-740.0,-22000.0,1.092661564277821,0.9388668331082279,0.8129175946547884
2025-12-01,3345860.0,88250.0,20370.0,-17400.0,-16900.0,1.085965379494008,0.9448069241011984,0.8232758620689655
